UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Inspection Summary,Recommended Action,Action Category
252,M15111,M,298.0,308.2,1466,42.6,26.96209677,77.4,No Failure,Engine ID 252 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in the next operational cycle.,Monitor
253,L47432,L,298.0,308.2,1620,35.8,26.68064516,77.75,No Failure,"Engine ID 253 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
254,L47433,L,298.0,308.2,1357,48.2,26.39919355,78.11,No Failure,Engine ID 254 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
255,L47434,L,298.0,308.2,1514,37.9,26.11774194,78.46,Overstrain Failure,Engine ID 255 shows signs of overstrain failure with elevated vibration levels and operational parameters indicating potential stress. Immediate attention is required to prevent further damage.,Conduct a thorough inspection of the engine components and assess for any signs of wear or damage. Consider recalibrating operational limits to reduce strain.,Flag for Inspection
256,L47435,L,298.0,308.2,1489,40.4,25.83629032,78.82,Overstrain Failure,Engine ID 256 shows signs of overstrain failure with elevated vibration levels and operational parameters nearing limits. Immediate attention required.,Conduct a thorough inspection and assessment of the engine components. Consider reducing load and recalibrating operational parameters.,Flag for Inspection
257,L47436,L,298.1,308.3,1331,63.0,25.55483871,79.17,No Failure,Engine ID 257 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
258,L47437,L,298.0,308.0,1615,29.5,25.2733871,79.53,No Failure,Engine ID 258 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but acceptable for current operational hours.,Monitor vibration levels during next inspection and consider further analysis if levels increase.,Monitor
259,L47438,L,298.1,308.2,1482,37.9,24.99193548,79.88,No Failure,Engine ID 259 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 20 operational hours.,Monitor
260,M15119,M,298.1,308.2,1420,63.9,24.71048387,80.24,No Failure,Engine ID 260 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in the next operational cycle.,Monitor
261,M15120,M,298.2,308.3,1522,49.1,24.42903226,80.59,No Failure,Engine 261 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during the next inspection and ensure regular maintenance is performed.,Monitor
262,L47441,L,298.1,308.2,1654,32.1,24.14758065,80.95,No Failure,Engine ID 262 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 20 operational hours.,Monitor
263,M15122,M,298.1,308.2,1736,26.8,42.0,81.3,Power Failure,Engine ID 263 is experiencing a power failure with elevated vibration levels at 42.0. The operational parameters indicate potential issues that require immediate attention.,Conduct a thorough inspection of the engine components and address the power failure issue. Monitor vibration levels and consider recalibrating or replacing faulty parts.,Monitor
264,M15123,M,298.0,308.1,1587,32.3,52.0,81.65,No Failure,Engine ID 264 is operating within normal parameters with no failures detected. Vibration level is slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
265,L47444,L,298.1,308.2,1390,47.5,44.0,82.01,No Failure,"Engine ID 265 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
266,L47445,L,298.0,308.1,1454,37.1,52.0,82.36,Tool Wear Failure,"Engine ID 266 shows signs of tool wear failure with elevated vibration levels at 52.0. Operational parameters are within range, but monitoring is advised.",Schedule immediate inspection and replacement of worn tools to prevent further issues.,Flag for Inspection
267,H29680,H,298.0,308.1,1440,43.7,44.0,82.72,Tool Wear Failure,Engine 267 shows signs of tool wear failure with elevated vibration levels and operational parameters within normal range. Immediate attention is required to prevent further degradation.,Schedule a maintenance check to assess and replace worn tools.,Flag for Inspection
268,L47447,L,297.9,308.0,1954,21.1,35.0,83.07,Tool Wear Failure,Engine 268 shows signs of tool wear failure with elevated vibration levels and operational parameters within normal limits. Immediate attention is required to prevent further degradation.,Inspect and replace worn tools; monitor vibration levels closely.,Monitor
269,H29682,H,297.9,308.0,1800,24.8,36.0,83.43,No Failure,Engine 269 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule the next routine maintenance check.,Monitor
270,L47449,L,298.0,308.0,1524,37.0,33.0,83.78,No Failure,Engine 270 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
271,H29684,H,298.0,308.0,1520,39.6,23.0,84.14,No Failure,"Engine 271 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule the next routine maintenance check.,Monitor
272,M15131,M,298.1,308.1,1452,40.8,45.0,84.49,No Failure,Engine ID 272 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
273,L47452,L,298.1,308.1,1484,40.4,55.0,84.85,No Failure,Engine 273 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
274,L47453,L,298.1,308.0,1426,46.0,45.0,85.2,No Failure,Engine 274 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
275,L47454,L,298.1,308.0,1652,28.5,34.0,85.55,No Failure,"Engine ID 275 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
276,L47455,L,298.0,308.0,1401,54.7,34.0,85.91,No Failure,Engine 276 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
277,M15136,M,298.0,307.9,1750,26.6,23.0,86.26,No Failure,Engine ID 277 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and maintenance schedule.,Monitor
278,H29691,H,298.0,308.0,1479,50.7,42.0,86.62,No Failure,"Engine 278 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
279,M15138,M,298.0,308.0,1620,29.4,54.0,86.97,No Failure,Engine ID 279 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
280,L47459,L,298.0,308.1,1819,23.4,55.0,87.33,No Failure,Engine ID 280 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
281,M15140,M,298.1,308.1,1456,43.7,54.0,87.68,No Failure,Engine ID 281 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
282,L47461,L,298.1,308.0,1626,36.5,34.0,88.04,No Failure,Engine 282 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
283,M15142,M,298.1,308.1,1390,49.8,33.0,88.39,No Failure,Engine ID 283 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection at 100 operational hours.,Monitor
284,L47463,L,298.2,308.2,1469,43.0,23.0,88.75,No Failure,Engine ID 284 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
285,L47464,L,298.2,308.3,2051,19.2,24.0,89.1,No Failure,Engine ID 285 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
286,L47465,L,298.2,308.3,1568,36.0,36.0,89.45,No Failure,Engine ID 286 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next routine inspection.,Monitor
287,L47466,L,298.2,308.3,1589,33.2,34.0,89.81,No Failure,Engine ID 287 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
288,L47467,L,298.2,308.3,1805,31.6,35.0,90.16,No Failure,Engine ID 288 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
289,H29702,H,298.2,308.4,1385,42.2,36.0,90.52,No Failure,Engine ID 289 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule the next inspection after 100 operational hours.,Monitor
290,L47469,L,298.1,308.4,1436,46.7,37.0,90.87,No Failure,Engine ID 290 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
291,L47470,L,298.1,308.4,1438,45.6,38.0,91.23,No Failure,Engine ID 291 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
292,L47471,L,298.0,308.3,1473,42.6,39.0,91.58,No Failure,Engine ID 292 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule the next routine inspection.,Monitor
293,L47472,L,298.1,308.4,1335,40.2,40.0,91.94,No Failure,Engine 293 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
294,H29707,H,298.1,308.5,1392,44.8,42.0,92.29,No Failure,"Engine 294 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
295,M15154,M,298.1,308.5,1372,51.1,52.0,92.65,No Failure,Engine ID 295 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
296,M15155,M,298.1,308.6,1716,30.7,44.0,93.0,No Failure,"Engine ID 296 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule the next inspection in accordance with maintenance guidelines.,Monitor
297,L47476,L,298.0,308.5,1395,46.2,52.0,93.35,No Failure,Engine ID 297 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
298,L47477,L,298.0,308.5,1713,25.3,44.0,93.71,No Failure,"Engine ID 298 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are manageable.",Continue regular monitoring and schedule next routine maintenance check.,Monitor
299,H29712,H,297.9,308.5,2129,18.7,35.0,94.06,No Failure,Engine ID 299 is operating within normal parameters with no failures detected. Vibration level is acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
300,M15159,M,297.8,308.3,1567,35.6,36.0,94.42,No Failure,Engine ID 300 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next inspection as per maintenance plan.,Monitor
301,L47480,L,297.8,308.4,1622,38.3,33.0,94.77,No Failure,Engine 301 is operating within normal parameters with no failures detected. Vibration and temperature levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
302,L47481,L,297.7,308.4,1740,27.1,23.0,95.13,No Failure,Engine 302 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection at 100 operational hours.,Monitor
303,H29716,H,297.8,308.4,1512,35.1,45.0,95.48,No Failure,"Engine 303 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
304,M15163,M,297.8,308.4,1479,43.5,55.0,95.84,No Failure,Engine 304 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
305,L47484,L,297.8,308.4,1737,27.5,45.0,96.19,No Failure,Engine 305 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider further analysis if they increase.,Monitor
306,L47485,L,297.8,308.4,2129,19.2,34.0,96.55,No Failure,Engine 306 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
307,L47486,L,297.8,308.4,1374,47.1,34.0,96.9,No Failure,"Engine ID 307 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and operational hours are low.",Continue regular monitoring and schedule the next inspection in accordance with maintenance guidelines.,Monitor
308,M15167,M,297.8,308.4,1579,36.6,23.0,97.25,No Failure,"Engine ID 308 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and schedule next inspection after 100 operational hours.,Monitor
309,L47488,L,297.9,308.5,1305,47.2,42.0,97.61,No Failure,Engine 309 is operating within normal parameters with no failures detected. Vibration levels are acceptable and performance metrics are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
310,M15169,M,297.9,308.5,1449,40.8,54.0,97.96,No Failure,Engine 310 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
311,H29724,H,298.0,308.6,1526,41.8,55.0,98.32,No Failure,Engine 311 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance to address potential wear.,Monitor
312,M15171,M,298.0,308.6,1453,44.1,54.0,98.67,No Failure,Engine 312 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance to ensure optimal performance.,Monitor
313,L47492,L,297.9,308.6,1468,36.0,34.0,99.03,No Failure,"Engine 313 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
314,L47493,L,298.0,308.6,1313,50.8,33.0,99.38,No Failure,Engine ID 314 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
315,M15174,M,297.9,308.5,1300,53.0,23.0,99.74,No Failure,Engine 315 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
316,L47495,L,297.9,308.4,1646,40.6,24.0,100.09,No Failure,Engine ID 316 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
317,L47496,L,297.8,308.4,1714,33.2,36.0,100.45,No Failure,Engine 317 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
318,L47497,L,297.8,308.4,1685,28.4,34.0,100.8,No Failure,Engine ID 318 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
319,L47498,L,297.8,308.4,1512,39.9,35.0,101.15,No Failure,Engine ID 319 is operating within normal parameters with no failure detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
320,L47499,L,297.8,308.4,1612,32.1,36.0,101.51,No Failure,Engine 320 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next routine maintenance.,Monitor
321,H29734,H,297.8,308.4,1550,38.2,37.0,101.86,No Failure,Engine ID 321 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance as scheduled.,Monitor
322,L47501,L,297.8,308.4,1518,32.5,38.0,102.22,No Failure,Engine ID 322 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
323,L47502,L,297.8,308.5,1448,40.0,39.0,102.57,No Failure,Engine 323 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
324,L47503,L,297.8,308.5,1561,46.3,40.0,102.93,No Failure,Engine ID 324 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
325,M15184,M,297.8,308.5,1488,41.9,42.0,103.28,No Failure,"Engine ID 325 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue routine monitoring and maintenance as scheduled.,Monitor
326,L47505,L,297.8,308.5,1699,27.8,52.0,103.64,No Failure,Engine ID 326 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
327,L47506,L,297.7,308.5,1501,41.4,44.0,103.99,No Failure,Engine 327 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but acceptable for current operational hours.,Monitor vibration levels and schedule a routine check in the next operational cycle.,Monitor
328,L47507,L,297.7,308.5,1373,56.7,52.0,104.35,No Failure,Engine ID 328 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
329,H29742,H,297.6,308.4,1703,31.4,44.0,104.7,No Failure,"Engine 329 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
330,H29743,H,297.7,308.5,1720,29.9,35.0,105.05,No Failure,Engine ID 330 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are within limits.,Continue regular monitoring and maintenance schedule.,Monitor
331,M15190,M,297.6,308.4,1398,41.9,36.0,105.41,No Failure,Engine 331 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
332,M15191,M,297.6,308.4,1391,51.9,33.0,105.76,No Failure,Engine ID 332 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
333,M15192,M,297.6,308.3,1538,40.2,23.0,106.12,No Failure,Engine ID 333 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
334,L47513,L,297.5,308.2,1647,31.3,45.0,106.47,No Failure,Engine ID 334 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
335,M15194,M,297.5,308.1,1469,44.8,55.0,106.83,No Failure,Engine 335 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
336,L47515,L,297.4,308.1,1749,25.9,45.0,107.18,No Failure,Engine 336 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but acceptable. Overall performance is stable.,Monitor vibration levels during next inspection and continue regular maintenance.,Monitor
337,M15196,M,297.6,308.2,1995,20.5,34.0,107.54,No Failure,Engine ID 337 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
338,L47517,L,297.6,308.3,1742,27.7,34.0,107.89,No Failure,Engine ID 338 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
339,L47518,L,297.5,308.2,1563,38.2,23.0,108.25,No Failure,"Engine 339 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
340,M15199,M,297.5,308.2,1713,32.2,42.0,108.6,No Failure,Engine 340 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
341,L47520,L,297.4,308.1,1474,39.4,54.0,108.95,No Failure,Engine ID 341 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
342,M15201,M,297.4,308.2,1530,32.6,55.0,109.31,No Failure,Engine ID 342 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
343,L47522,L,297.4,308.2,1471,46.5,54.0,109.66,No Failure,Engine ID 343 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels during next inspection and consider routine maintenance to ensure continued performance.,Monitor
344,L47523,L,297.5,308.3,1388,48.6,34.0,110.02,No Failure,Engine ID 344 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are low.,Continue regular monitoring and maintenance schedule.,Monitor
345,M15204,M,297.5,308.2,2448,13.8,33.0,110.37,No Failure,Engine ID 345 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
346,L47525,L,297.5,308.3,1585,32.9,23.0,110.73,No Failure,"Engine ID 346 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and schedule the next inspection in accordance with operational hours.,Monitor
347,M15206,M,297.5,308.3,1459,45.2,24.0,111.08,No Failure,Engine 347 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
348,L47527,L,297.5,308.3,1544,40.8,36.0,111.44,No Failure,Engine ID 348 is operating within normal parameters with no failures detected. All readings are stable.,Continue routine monitoring and maintenance as scheduled.,Monitor
349,L47528,L,297.6,308.3,1617,31.7,34.0,111.79,Overstrain Failure,Engine ID 349 shows signs of overstrain failure with elevated vibration levels and operational parameters indicating potential stress. Immediate attention required.,Conduct a thorough inspection of the engine components and reduce operational load to prevent further damage.,Flag for Inspection
350,L47529,L,297.6,308.3,1595,34.3,35.0,112.15,Overstrain Failure,Engine ID 350 shows signs of overstrain failure with elevated process temperature and vibration levels. Operational parameters indicate potential stress on components.,Conduct a thorough inspection of the engine components and consider reducing load to prevent further damage.,Flag for Inspection
351,H29764,H,297.6,308.3,1400,44.3,36.0,112.5,No Failure,Engine ID 351 is operating within normal parameters with no failures detected. All readings are stable and within acceptable ranges.,Continue regular monitoring and schedule next inspection in accordance with maintenance plan.,Monitor
352,M15211,M,297.6,308.4,1611,31.0,37.0,112.85,No Failure,Engine ID 352 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
353,M15212,M,297.6,308.4,1507,46.0,38.0,113.21,No Failure,Engine 353 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next routine maintenance check.,Monitor
354,H29767,H,297.5,308.3,1674,30.0,39.0,113.56,No Failure,Engine ID 354 is operating within normal parameters with no failures detected. Vibration levels are acceptable and the engine has low operational hours.,Continue regular monitoring and maintenance schedule.,Monitor
355,L47534,L,297.6,308.3,1658,34.3,40.0,113.92,No Failure,Engine ID 355 is operating within normal parameters with no failures detected. Vibration levels and temperatures are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
356,L47535,L,297.6,308.3,1623,36.9,42.0,114.27,No Failure,"Engine ID 356 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and all temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
357,M15216,M,297.6,308.4,1398,48.9,52.0,114.63,Power Failure,"Engine ID 357 is experiencing a power failure with elevated vibration levels at 52.0. Operational parameters are within range, but the vibration indicates potential mechanical issues.",Conduct a detailed vibration analysis and inspect for mechanical wear or misalignment.,Flag for Inspection
358,L47537,L,297.6,308.4,1517,34.2,44.0,114.98,No Failure,Engine ID 358 is operating within normal parameters with no failure detected. All readings are stable.,Continue regular monitoring and schedule next routine maintenance.,Monitor
359,M15218,M,297.6,308.3,1467,36.7,52.0,115.34,No Failure,Engine ID 359 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
360,M15219,M,297.6,308.3,1567,34.6,44.0,115.69,Tool Wear Failure,Engine 360 shows signs of tool wear failure with elevated vibration levels and operational parameters within acceptable ranges. Monitoring required.,Schedule immediate inspection and replacement of worn tools to prevent further degradation.,Flag for Inspection
361,M15220,M,297.5,308.3,1521,38.2,35.0,116.05,Tool Wear Failure,Engine 361 shows signs of tool wear failure with elevated vibration levels and operational hours indicating potential maintenance needs.,Schedule immediate inspection and replacement of worn tools to prevent further damage.,Flag for Inspection
362,L47541,L,297.5,308.3,1596,36.8,36.0,116.4,Tool Wear Failure,"Engine 362 shows signs of tool wear failure, with operational parameters within acceptable ranges but indicating potential degradation. Vibration levels are slightly elevated, which may require monitoring.",Schedule a maintenance check to assess tool condition and replace if necessary.,Flag for Inspection
363,H29776,H,297.6,308.3,1640,30.9,33.0,116.75,No Failure,Engine ID 363 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are manageable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
364,L47543,L,297.6,308.3,1438,47.8,23.0,117.11,No Failure,Engine ID 364 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are within expected limits.,Continue regular monitoring and maintenance schedule.,Monitor
365,L47544,L,297.6,308.4,1407,55.2,45.0,117.46,No Failure,Engine ID 365 is operating within normal parameters with no failure detected. Vibration levels are acceptable.,Continue regular monitoring and maintenance schedule.,Monitor
366,L47545,L,297.6,308.4,1353,57.5,55.0,117.82,No Failure,Engine ID 366 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and perform routine maintenance at the next scheduled interval.,Monitor
367,M15226,M,297.6,308.5,1552,40.9,45.0,118.17,No Failure,Engine ID 367 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but still acceptable.,Monitor vibration levels during next inspection and consider routine maintenance.,Monitor
368,M15227,M,297.6,308.4,1569,38.3,34.0,118.53,No Failure,Engine ID 368 is operating within normal parameters with no failures reported. Vibration levels are acceptable and temperatures are stable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
369,L47548,L,297.5,308.4,1489,39.5,34.0,118.88,No Failure,Engine ID 369 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and schedule the next routine maintenance check.,Monitor
370,H29783,H,297.5,308.4,1587,36.1,23.0,119.24,No Failure,Engine 370 is operating within normal parameters with no failures detected. Vibration levels are acceptable.,Continue regular monitoring and schedule next inspection in accordance with operational hours.,Monitor
371,M15230,M,297.5,308.3,1622,37.2,42.0,119.59,No Failure,"Engine 371 is operating within normal parameters with no failures detected. Vibration levels are acceptable, and temperatures are stable.",Continue regular monitoring and maintenance schedule.,Monitor
372,L47551,L,297.5,308.4,1604,38.1,54.0,119.95,No Failure,Engine 372 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
373,M15232,M,297.4,308.3,1405,51.7,55.0,120.3,No Failure,Engine 373 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
374,L47553,L,297.4,308.3,1412,42.0,54.0,120.65,No Failure,Engine 374 is operating within normal parameters with no failures detected. Vibration levels are slightly elevated but not critical.,Monitor vibration levels and schedule a follow-up inspection in 50 operational hours.,Monitor
375,L47554,L,297.4,308.3,1431,43.0,34.0,121.01,No Failure,Engine ID 375 is operating within normal parameters with no failures detected. Vibration levels are acceptable and operational hours are manageable.,Continue regular monitoring and schedule next routine maintenance check.,Monitor
376,L47555,L,297.4,308.2,1533,37.4,33.0,121.36,No Failure,Engine ID 376 is operating within normal parameters with no failures detected. All readings are stable.,Continue regular monitoring and maintenance schedule.,Monitor
