UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Comment
221,L47400,L,298.3,308.5,1416,52.7,37.0,66.41,No Failure,"Technician inspected Engine #221. RPM at 1416, torque at 52.7 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 37.0. Engine has run for 66.4 hours. No failure detected."
222,H29635,H,298.4,308.5,1827,24.3,38.0,66.76,No Failure,"Technician inspected Engine #222. RPM at 1827, torque at 24.3 Nm. Air temp 298.4K, Process temp 308.5K. Vibration level recorded at 38.0. Engine has run for 66.8 hours. No failure detected."
223,L47402,L,298.4,308.6,1304,45.0,39.0,67.12,No Failure,"Technician inspected Engine #223. RPM at 1304, torque at 45.0 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 39.0. Engine has run for 67.1 hours. No failure detected."
224,L47403,L,298.4,308.6,1569,34.4,40.0,67.47,No Failure,"Technician inspected Engine #224. RPM at 1569, torque at 34.4 Nm. Air temp 298.4K, Process temp 308.6K. Vibration level recorded at 40.0. Engine has run for 67.5 hours. No failure detected."
225,L47404,L,298.3,308.6,1584,29.3,34.56129032,67.83,No Failure,"Technician inspected Engine #225. RPM at 1584, torque at 29.3 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 34.6. Engine has run for 67.8 hours. No failure detected."
226,L47405,L,298.3,308.5,1362,53.8,34.27983871,68.18,No Failure,"Technician inspected Engine #226. RPM at 1362, torque at 53.8 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 34.3. Engine has run for 68.2 hours. No failure detected."
227,L47406,L,298.3,308.4,1329,49.2,33.9983871,68.54,No Failure,"Technician inspected Engine #227. RPM at 1329, torque at 49.2 Nm. Air temp 298.3K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 68.5 hours. No failure detected."
228,L47407,L,298.3,308.5,1539,36.1,33.71693548,68.89,No Failure,"Technician inspected Engine #228. RPM at 1539, torque at 36.1 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 33.7. Engine has run for 68.9 hours. No failure detected."
229,M15088,M,298.3,308.5,1629,37.1,33.43548387,69.25,No Failure,"Technician inspected Engine #229. RPM at 1629, torque at 37.1 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 33.4. Engine has run for 69.2 hours. No failure detected."
230,L47409,L,298.3,308.5,1538,32.2,33.15403226,69.6,No Failure,"Technician inspected Engine #230. RPM at 1538, torque at 32.2 Nm. Air temp 298.3K, Process temp 308.5K. Vibration level recorded at 33.2. Engine has run for 69.6 hours. No failure detected."
231,L47410,L,298.3,308.6,1570,34.8,32.87258065,69.95,No Failure,"Technician inspected Engine #231. RPM at 1570, torque at 34.8 Nm. Air temp 298.3K, Process temp 308.6K. Vibration level recorded at 32.9. Engine has run for 70.0 hours. No failure detected."
232,L47411,L,298.3,308.4,1408,43.1,32.59112903,70.31,No Failure,"Technician inspected Engine #232. RPM at 1408, torque at 43.1 Nm. Air temp 298.3K, Process temp 308.4K. Vibration level recorded at 32.6. Engine has run for 70.3 hours. No failure detected."
233,L47412,L,298.2,308.4,1424,47.6,32.30967742,70.66,No Failure,"Technician inspected Engine #233. RPM at 1424, torque at 47.6 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 32.3. Engine has run for 70.7 hours. No failure detected."
234,L47413,L,298.2,308.4,1512,34.9,32.02822581,71.02,No Failure,"Technician inspected Engine #234. RPM at 1512, torque at 34.9 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 32.0. Engine has run for 71.0 hours. No failure detected."
235,L47414,L,298.2,308.4,1478,42.9,31.74677419,71.37,No Failure,"Technician inspected Engine #235. RPM at 1478, torque at 42.9 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 31.7. Engine has run for 71.4 hours. No failure detected."
236,M15095,M,298.1,308.3,1680,33.7,31.46532258,71.73,No Failure,"Technician inspected Engine #236. RPM at 1680, torque at 33.7 Nm. Air temp 298.1K, Process temp 308.3K. Vibration level recorded at 31.5. Engine has run for 71.7 hours. No failure detected."
237,L47416,L,298.1,308.3,1495,38.7,31.18387097,72.08,No Failure,"Technician inspected Engine #237. RPM at 1495, torque at 38.7 Nm. Air temp 298.1K, Process temp 308.3K. Vibration level recorded at 31.2. Engine has run for 72.1 hours. No failure detected."
238,M15097,M,298.0,308.1,1552,36.6,30.90241935,72.44,No Failure,"Technician inspected Engine #238. RPM at 1552, torque at 36.6 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 30.9. Engine has run for 72.4 hours. No failure detected."
239,L47418,L,297.9,308.1,1393,50.3,30.62096774,72.79,No Failure,"Technician inspected Engine #239. RPM at 1393, torque at 50.3 Nm. Air temp 297.9K, Process temp 308.1K. Vibration level recorded at 30.6. Engine has run for 72.8 hours. No failure detected."
240,L47419,L,298.0,308.2,1611,30.6,30.33951613,73.15,No Failure,"Technician inspected Engine #240. RPM at 1611, torque at 30.6 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 30.3. Engine has run for 73.2 hours. No failure detected."
241,M15100,M,298.0,308.1,1339,51.6,30.05806452,73.5,No Failure,"Technician inspected Engine #241. RPM at 1339, torque at 51.6 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 30.1. Engine has run for 73.5 hours. No failure detected."
242,L47421,L,298.0,308.1,1777,24.3,29.7766129,73.85,No Failure,"Technician inspected Engine #242. RPM at 1777, torque at 24.3 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 29.8. Engine has run for 73.8 hours. No failure detected."
243,L47422,L,298.0,308.2,1348,58.8,29.49516129,74.21,No Failure,"Technician inspected Engine #243. RPM at 1348, torque at 58.8 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 29.5. Engine has run for 74.2 hours. No failure detected."
244,L47423,L,298.0,308.2,1442,44.1,29.21370968,74.56,No Failure,"Technician inspected Engine #244. RPM at 1442, torque at 44.1 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 29.2. Engine has run for 74.6 hours. No failure detected."
245,M15104,M,298.0,308.2,1395,49.1,28.93225806,74.92,No Failure,"Technician inspected Engine #245. RPM at 1395, torque at 49.1 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 28.9. Engine has run for 74.9 hours. No failure detected."
246,M15105,M,297.9,308.1,1627,31.4,28.65080645,75.27,No Failure,"Technician inspected Engine #246. RPM at 1627, torque at 31.4 Nm. Air temp 297.9K, Process temp 308.1K. Vibration level recorded at 28.7. Engine has run for 75.3 hours. No failure detected."
247,L47426,L,297.9,308.1,1585,33.5,28.36935484,75.63,No Failure,"Technician inspected Engine #247. RPM at 1585, torque at 33.5 Nm. Air temp 297.9K, Process temp 308.1K. Vibration level recorded at 28.4. Engine has run for 75.6 hours. No failure detected."
248,L47427,L,298.0,308.2,1469,45.5,28.08790323,75.98,No Failure,"Technician inspected Engine #248. RPM at 1469, torque at 45.5 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 28.1. Engine has run for 76.0 hours. No failure detected."
249,L47428,L,298.0,308.3,1362,56.8,27.80645161,76.34,No Failure,"Technician inspected Engine #249. RPM at 1362, torque at 56.8 Nm. Air temp 298.0K, Process temp 308.3K. Vibration level recorded at 27.8. Engine has run for 76.3 hours. No failure detected."
250,L47429,L,298.0,308.3,1405,56.2,27.525,76.69,No Failure,"Technician inspected Engine #250. RPM at 1405, torque at 56.2 Nm. Air temp 298.0K, Process temp 308.3K. Vibration level recorded at 27.5. Engine has run for 76.7 hours. No failure detected."
251,L47430,L,298.0,308.3,1662,32.7,27.24354839,77.05,No Failure,"Technician inspected Engine #251. RPM at 1662, torque at 32.7 Nm. Air temp 298.0K, Process temp 308.3K. Vibration level recorded at 27.2. Engine has run for 77.0 hours. No failure detected."
252,M15111,M,298.0,308.2,1466,42.6,26.96209677,77.4,No Failure,"Technician inspected Engine #252. RPM at 1466, torque at 42.6 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 27.0. Engine has run for 77.4 hours. No failure detected."
253,L47432,L,298.0,308.2,1620,35.8,26.68064516,77.75,No Failure,"Technician inspected Engine #253. RPM at 1620, torque at 35.8 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 26.7. Engine has run for 77.8 hours. No failure detected."
254,L47433,L,298.0,308.2,1357,48.2,26.39919355,78.11,No Failure,"Technician inspected Engine #254. RPM at 1357, torque at 48.2 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 26.4. Engine has run for 78.1 hours. No failure detected."
255,L47434,L,298.0,308.2,1514,37.9,26.11774194,78.46,Overstrain Failure,"Technician inspected Engine #255. RPM at 1514, torque at 37.9 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 26.1. Engine has run for 78.5 hours. Anomaly present. Further diagnostics required."
256,L47435,L,298.0,308.2,1489,40.4,25.83629032,78.82,Overstrain Failure,"Technician inspected Engine #256. RPM at 1489, torque at 40.4 Nm. Air temp 298.0K, Process temp 308.2K. Vibration level recorded at 25.8. Engine has run for 78.8 hours. Anomaly present. Further diagnostics required."
257,L47436,L,298.1,308.3,1331,63.0,25.55483871,79.17,No Failure,"Technician inspected Engine #257. RPM at 1331, torque at 63.0 Nm. Air temp 298.1K, Process temp 308.3K. Vibration level recorded at 25.6. Engine has run for 79.2 hours. No failure detected."
258,L47437,L,298.0,308.0,1615,29.5,25.2733871,79.53,No Failure,"Technician inspected Engine #258. RPM at 1615, torque at 29.5 Nm. Air temp 298.0K, Process temp 308.0K. Vibration level recorded at 25.3. Engine has run for 79.5 hours. No failure detected."
259,L47438,L,298.1,308.2,1482,37.9,24.99193548,79.88,No Failure,"Technician inspected Engine #259. RPM at 1482, torque at 37.9 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 25.0. Engine has run for 79.9 hours. No failure detected."
260,M15119,M,298.1,308.2,1420,63.9,24.71048387,80.24,No Failure,"Technician inspected Engine #260. RPM at 1420, torque at 63.9 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 24.7. Engine has run for 80.2 hours. No failure detected."
261,M15120,M,298.2,308.3,1522,49.1,24.42903226,80.59,No Failure,"Technician inspected Engine #261. RPM at 1522, torque at 49.1 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 24.4. Engine has run for 80.6 hours. No failure detected."
262,L47441,L,298.1,308.2,1654,32.1,24.14758065,80.95,No Failure,"Technician inspected Engine #262. RPM at 1654, torque at 32.1 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 24.1. Engine has run for 81.0 hours. No failure detected."
263,M15122,M,298.1,308.2,1736,26.8,42.0,81.3,Power Failure,"Technician inspected Engine #263. RPM at 1736, torque at 26.8 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 42.0. Engine has run for 81.3 hours. Anomaly present. Further diagnostics required."
264,M15123,M,298.0,308.1,1587,32.3,52.0,81.65,No Failure,"Technician inspected Engine #264. RPM at 1587, torque at 32.3 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 52.0. Engine has run for 81.7 hours. No failure detected."
265,L47444,L,298.1,308.2,1390,47.5,44.0,82.01,No Failure,"Technician inspected Engine #265. RPM at 1390, torque at 47.5 Nm. Air temp 298.1K, Process temp 308.2K. Vibration level recorded at 44.0. Engine has run for 82.0 hours. No failure detected."
266,L47445,L,298.0,308.1,1454,37.1,52.0,82.36,Tool Wear Failure,"Technician inspected Engine #266. RPM at 1454, torque at 37.1 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 52.0. Engine has run for 82.4 hours. Signs of tool wear observed. Recommend inspection."
267,H29680,H,298.0,308.1,1440,43.7,44.0,82.72,Tool Wear Failure,"Technician inspected Engine #267. RPM at 1440, torque at 43.7 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 44.0. Engine has run for 82.7 hours. Signs of tool wear observed. Recommend inspection."
268,L47447,L,297.9,308.0,1954,21.1,35.0,83.07,Tool Wear Failure,"Technician inspected Engine #268. RPM at 1954, torque at 21.1 Nm. Air temp 297.9K, Process temp 308.0K. Vibration level recorded at 35.0. Engine has run for 83.1 hours. Signs of tool wear observed. Recommend inspection."
269,H29682,H,297.9,308.0,1800,24.8,36.0,83.43,No Failure,"Technician inspected Engine #269. RPM at 1800, torque at 24.8 Nm. Air temp 297.9K, Process temp 308.0K. Vibration level recorded at 36.0. Engine has run for 83.4 hours. No failure detected."
270,L47449,L,298.0,308.0,1524,37.0,33.0,83.78,No Failure,"Technician inspected Engine #270. RPM at 1524, torque at 37.0 Nm. Air temp 298.0K, Process temp 308.0K. Vibration level recorded at 33.0. Engine has run for 83.8 hours. No failure detected."
271,H29684,H,298.0,308.0,1520,39.6,23.0,84.14,No Failure,"Technician inspected Engine #271. RPM at 1520, torque at 39.6 Nm. Air temp 298.0K, Process temp 308.0K. Vibration level recorded at 23.0. Engine has run for 84.1 hours. No failure detected."
272,M15131,M,298.1,308.1,1452,40.8,45.0,84.49,No Failure,"Technician inspected Engine #272. RPM at 1452, torque at 40.8 Nm. Air temp 298.1K, Process temp 308.1K. Vibration level recorded at 45.0. Engine has run for 84.5 hours. No failure detected."
273,L47452,L,298.1,308.1,1484,40.4,55.0,84.85,No Failure,"Technician inspected Engine #273. RPM at 1484, torque at 40.4 Nm. Air temp 298.1K, Process temp 308.1K. Vibration level recorded at 55.0. Engine has run for 84.8 hours. No failure detected."
274,L47453,L,298.1,308.0,1426,46.0,45.0,85.2,No Failure,"Technician inspected Engine #274. RPM at 1426, torque at 46.0 Nm. Air temp 298.1K, Process temp 308.0K. Vibration level recorded at 45.0. Engine has run for 85.2 hours. No failure detected."
275,L47454,L,298.1,308.0,1652,28.5,34.0,85.55,No Failure,"Technician inspected Engine #275. RPM at 1652, torque at 28.5 Nm. Air temp 298.1K, Process temp 308.0K. Vibration level recorded at 34.0. Engine has run for 85.5 hours. No failure detected."
276,L47455,L,298.0,308.0,1401,54.7,34.0,85.91,No Failure,"Technician inspected Engine #276. RPM at 1401, torque at 54.7 Nm. Air temp 298.0K, Process temp 308.0K. Vibration level recorded at 34.0. Engine has run for 85.9 hours. No failure detected."
277,M15136,M,298.0,307.9,1750,26.6,23.0,86.26,No Failure,"Technician inspected Engine #277. RPM at 1750, torque at 26.6 Nm. Air temp 298.0K, Process temp 307.9K. Vibration level recorded at 23.0. Engine has run for 86.3 hours. No failure detected."
278,H29691,H,298.0,308.0,1479,50.7,42.0,86.62,No Failure,"Technician inspected Engine #278. RPM at 1479, torque at 50.7 Nm. Air temp 298.0K, Process temp 308.0K. Vibration level recorded at 42.0. Engine has run for 86.6 hours. No failure detected."
279,M15138,M,298.0,308.0,1620,29.4,54.0,86.97,No Failure,"Technician inspected Engine #279. RPM at 1620, torque at 29.4 Nm. Air temp 298.0K, Process temp 308.0K. Vibration level recorded at 54.0. Engine has run for 87.0 hours. No failure detected."
280,L47459,L,298.0,308.1,1819,23.4,55.0,87.33,No Failure,"Technician inspected Engine #280. RPM at 1819, torque at 23.4 Nm. Air temp 298.0K, Process temp 308.1K. Vibration level recorded at 55.0. Engine has run for 87.3 hours. No failure detected."
281,M15140,M,298.1,308.1,1456,43.7,54.0,87.68,No Failure,"Technician inspected Engine #281. RPM at 1456, torque at 43.7 Nm. Air temp 298.1K, Process temp 308.1K. Vibration level recorded at 54.0. Engine has run for 87.7 hours. No failure detected."
282,L47461,L,298.1,308.0,1626,36.5,34.0,88.04,No Failure,"Technician inspected Engine #282. RPM at 1626, torque at 36.5 Nm. Air temp 298.1K, Process temp 308.0K. Vibration level recorded at 34.0. Engine has run for 88.0 hours. No failure detected."
283,M15142,M,298.1,308.1,1390,49.8,33.0,88.39,No Failure,"Technician inspected Engine #283. RPM at 1390, torque at 49.8 Nm. Air temp 298.1K, Process temp 308.1K. Vibration level recorded at 33.0. Engine has run for 88.4 hours. No failure detected."
284,L47463,L,298.2,308.2,1469,43.0,23.0,88.75,No Failure,"Technician inspected Engine #284. RPM at 1469, torque at 43.0 Nm. Air temp 298.2K, Process temp 308.2K. Vibration level recorded at 23.0. Engine has run for 88.8 hours. No failure detected."
285,L47464,L,298.2,308.3,2051,19.2,24.0,89.1,No Failure,"Technician inspected Engine #285. RPM at 2051, torque at 19.2 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 24.0. Engine has run for 89.1 hours. No failure detected."
286,L47465,L,298.2,308.3,1568,36.0,36.0,89.45,No Failure,"Technician inspected Engine #286. RPM at 1568, torque at 36.0 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 36.0. Engine has run for 89.5 hours. No failure detected."
287,L47466,L,298.2,308.3,1589,33.2,34.0,89.81,No Failure,"Technician inspected Engine #287. RPM at 1589, torque at 33.2 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 89.8 hours. No failure detected."
288,L47467,L,298.2,308.3,1805,31.6,35.0,90.16,No Failure,"Technician inspected Engine #288. RPM at 1805, torque at 31.6 Nm. Air temp 298.2K, Process temp 308.3K. Vibration level recorded at 35.0. Engine has run for 90.2 hours. No failure detected."
289,H29702,H,298.2,308.4,1385,42.2,36.0,90.52,No Failure,"Technician inspected Engine #289. RPM at 1385, torque at 42.2 Nm. Air temp 298.2K, Process temp 308.4K. Vibration level recorded at 36.0. Engine has run for 90.5 hours. No failure detected."
290,L47469,L,298.1,308.4,1436,46.7,37.0,90.87,No Failure,"Technician inspected Engine #290. RPM at 1436, torque at 46.7 Nm. Air temp 298.1K, Process temp 308.4K. Vibration level recorded at 37.0. Engine has run for 90.9 hours. No failure detected."
291,L47470,L,298.1,308.4,1438,45.6,38.0,91.23,No Failure,"Technician inspected Engine #291. RPM at 1438, torque at 45.6 Nm. Air temp 298.1K, Process temp 308.4K. Vibration level recorded at 38.0. Engine has run for 91.2 hours. No failure detected."
292,L47471,L,298.0,308.3,1473,42.6,39.0,91.58,No Failure,"Technician inspected Engine #292. RPM at 1473, torque at 42.6 Nm. Air temp 298.0K, Process temp 308.3K. Vibration level recorded at 39.0. Engine has run for 91.6 hours. No failure detected."
293,L47472,L,298.1,308.4,1335,40.2,40.0,91.94,No Failure,"Technician inspected Engine #293. RPM at 1335, torque at 40.2 Nm. Air temp 298.1K, Process temp 308.4K. Vibration level recorded at 40.0. Engine has run for 91.9 hours. No failure detected."
294,H29707,H,298.1,308.5,1392,44.8,42.0,92.29,No Failure,"Technician inspected Engine #294. RPM at 1392, torque at 44.8 Nm. Air temp 298.1K, Process temp 308.5K. Vibration level recorded at 42.0. Engine has run for 92.3 hours. No failure detected."
295,M15154,M,298.1,308.5,1372,51.1,52.0,92.65,No Failure,"Technician inspected Engine #295. RPM at 1372, torque at 51.1 Nm. Air temp 298.1K, Process temp 308.5K. Vibration level recorded at 52.0. Engine has run for 92.7 hours. No failure detected."
296,M15155,M,298.1,308.6,1716,30.7,44.0,93.0,No Failure,"Technician inspected Engine #296. RPM at 1716, torque at 30.7 Nm. Air temp 298.1K, Process temp 308.6K. Vibration level recorded at 44.0. Engine has run for 93.0 hours. No failure detected."
297,L47476,L,298.0,308.5,1395,46.2,52.0,93.35,No Failure,"Technician inspected Engine #297. RPM at 1395, torque at 46.2 Nm. Air temp 298.0K, Process temp 308.5K. Vibration level recorded at 52.0. Engine has run for 93.3 hours. No failure detected."
298,L47477,L,298.0,308.5,1713,25.3,44.0,93.71,No Failure,"Technician inspected Engine #298. RPM at 1713, torque at 25.3 Nm. Air temp 298.0K, Process temp 308.5K. Vibration level recorded at 44.0. Engine has run for 93.7 hours. No failure detected."
299,H29712,H,297.9,308.5,2129,18.7,35.0,94.06,No Failure,"Technician inspected Engine #299. RPM at 2129, torque at 18.7 Nm. Air temp 297.9K, Process temp 308.5K. Vibration level recorded at 35.0. Engine has run for 94.1 hours. No failure detected."
300,M15159,M,297.8,308.3,1567,35.6,36.0,94.42,No Failure,"Technician inspected Engine #300. RPM at 1567, torque at 35.6 Nm. Air temp 297.8K, Process temp 308.3K. Vibration level recorded at 36.0. Engine has run for 94.4 hours. No failure detected."
301,L47480,L,297.8,308.4,1622,38.3,33.0,94.77,No Failure,"Technician inspected Engine #301. RPM at 1622, torque at 38.3 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 33.0. Engine has run for 94.8 hours. No failure detected."
302,L47481,L,297.7,308.4,1740,27.1,23.0,95.13,No Failure,"Technician inspected Engine #302. RPM at 1740, torque at 27.1 Nm. Air temp 297.7K, Process temp 308.4K. Vibration level recorded at 23.0. Engine has run for 95.1 hours. No failure detected."
303,H29716,H,297.8,308.4,1512,35.1,45.0,95.48,No Failure,"Technician inspected Engine #303. RPM at 1512, torque at 35.1 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 45.0. Engine has run for 95.5 hours. No failure detected."
304,M15163,M,297.8,308.4,1479,43.5,55.0,95.84,No Failure,"Technician inspected Engine #304. RPM at 1479, torque at 43.5 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 55.0. Engine has run for 95.8 hours. No failure detected."
305,L47484,L,297.8,308.4,1737,27.5,45.0,96.19,No Failure,"Technician inspected Engine #305. RPM at 1737, torque at 27.5 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 45.0. Engine has run for 96.2 hours. No failure detected."
306,L47485,L,297.8,308.4,2129,19.2,34.0,96.55,No Failure,"Technician inspected Engine #306. RPM at 2129, torque at 19.2 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 96.5 hours. No failure detected."
307,L47486,L,297.8,308.4,1374,47.1,34.0,96.9,No Failure,"Technician inspected Engine #307. RPM at 1374, torque at 47.1 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 96.9 hours. No failure detected."
308,M15167,M,297.8,308.4,1579,36.6,23.0,97.25,No Failure,"Technician inspected Engine #308. RPM at 1579, torque at 36.6 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 23.0. Engine has run for 97.2 hours. No failure detected."
309,L47488,L,297.9,308.5,1305,47.2,42.0,97.61,No Failure,"Technician inspected Engine #309. RPM at 1305, torque at 47.2 Nm. Air temp 297.9K, Process temp 308.5K. Vibration level recorded at 42.0. Engine has run for 97.6 hours. No failure detected."
310,M15169,M,297.9,308.5,1449,40.8,54.0,97.96,No Failure,"Technician inspected Engine #310. RPM at 1449, torque at 40.8 Nm. Air temp 297.9K, Process temp 308.5K. Vibration level recorded at 54.0. Engine has run for 98.0 hours. No failure detected."
311,H29724,H,298.0,308.6,1526,41.8,55.0,98.32,No Failure,"Technician inspected Engine #311. RPM at 1526, torque at 41.8 Nm. Air temp 298.0K, Process temp 308.6K. Vibration level recorded at 55.0. Engine has run for 98.3 hours. No failure detected."
312,M15171,M,298.0,308.6,1453,44.1,54.0,98.67,No Failure,"Technician inspected Engine #312. RPM at 1453, torque at 44.1 Nm. Air temp 298.0K, Process temp 308.6K. Vibration level recorded at 54.0. Engine has run for 98.7 hours. No failure detected."
313,L47492,L,297.9,308.6,1468,36.0,34.0,99.03,No Failure,"Technician inspected Engine #313. RPM at 1468, torque at 36.0 Nm. Air temp 297.9K, Process temp 308.6K. Vibration level recorded at 34.0. Engine has run for 99.0 hours. No failure detected."
314,L47493,L,298.0,308.6,1313,50.8,33.0,99.38,No Failure,"Technician inspected Engine #314. RPM at 1313, torque at 50.8 Nm. Air temp 298.0K, Process temp 308.6K. Vibration level recorded at 33.0. Engine has run for 99.4 hours. No failure detected."
315,M15174,M,297.9,308.5,1300,53.0,23.0,99.74,No Failure,"Technician inspected Engine #315. RPM at 1300, torque at 53.0 Nm. Air temp 297.9K, Process temp 308.5K. Vibration level recorded at 23.0. Engine has run for 99.7 hours. No failure detected."
316,L47495,L,297.9,308.4,1646,40.6,24.0,100.09,No Failure,"Technician inspected Engine #316. RPM at 1646, torque at 40.6 Nm. Air temp 297.9K, Process temp 308.4K. Vibration level recorded at 24.0. Engine has run for 100.1 hours. No failure detected."
317,L47496,L,297.8,308.4,1714,33.2,36.0,100.45,No Failure,"Technician inspected Engine #317. RPM at 1714, torque at 33.2 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 36.0. Engine has run for 100.5 hours. No failure detected."
318,L47497,L,297.8,308.4,1685,28.4,34.0,100.8,No Failure,"Technician inspected Engine #318. RPM at 1685, torque at 28.4 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 100.8 hours. No failure detected."
319,L47498,L,297.8,308.4,1512,39.9,35.0,101.15,No Failure,"Technician inspected Engine #319. RPM at 1512, torque at 39.9 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 35.0. Engine has run for 101.2 hours. No failure detected."
320,L47499,L,297.8,308.4,1612,32.1,36.0,101.51,No Failure,"Technician inspected Engine #320. RPM at 1612, torque at 32.1 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 36.0. Engine has run for 101.5 hours. No failure detected."
321,H29734,H,297.8,308.4,1550,38.2,37.0,101.86,No Failure,"Technician inspected Engine #321. RPM at 1550, torque at 38.2 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 37.0. Engine has run for 101.9 hours. No failure detected."
322,L47501,L,297.8,308.4,1518,32.5,38.0,102.22,No Failure,"Technician inspected Engine #322. RPM at 1518, torque at 32.5 Nm. Air temp 297.8K, Process temp 308.4K. Vibration level recorded at 38.0. Engine has run for 102.2 hours. No failure detected."
323,L47502,L,297.8,308.5,1448,40.0,39.0,102.57,No Failure,"Technician inspected Engine #323. RPM at 1448, torque at 40.0 Nm. Air temp 297.8K, Process temp 308.5K. Vibration level recorded at 39.0. Engine has run for 102.6 hours. No failure detected."
324,L47503,L,297.8,308.5,1561,46.3,40.0,102.93,No Failure,"Technician inspected Engine #324. RPM at 1561, torque at 46.3 Nm. Air temp 297.8K, Process temp 308.5K. Vibration level recorded at 40.0. Engine has run for 102.9 hours. No failure detected."
325,M15184,M,297.8,308.5,1488,41.9,42.0,103.28,No Failure,"Technician inspected Engine #325. RPM at 1488, torque at 41.9 Nm. Air temp 297.8K, Process temp 308.5K. Vibration level recorded at 42.0. Engine has run for 103.3 hours. No failure detected."
326,L47505,L,297.8,308.5,1699,27.8,52.0,103.64,No Failure,"Technician inspected Engine #326. RPM at 1699, torque at 27.8 Nm. Air temp 297.8K, Process temp 308.5K. Vibration level recorded at 52.0. Engine has run for 103.6 hours. No failure detected."
327,L47506,L,297.7,308.5,1501,41.4,44.0,103.99,No Failure,"Technician inspected Engine #327. RPM at 1501, torque at 41.4 Nm. Air temp 297.7K, Process temp 308.5K. Vibration level recorded at 44.0. Engine has run for 104.0 hours. No failure detected."
328,L47507,L,297.7,308.5,1373,56.7,52.0,104.35,No Failure,"Technician inspected Engine #328. RPM at 1373, torque at 56.7 Nm. Air temp 297.7K, Process temp 308.5K. Vibration level recorded at 52.0. Engine has run for 104.3 hours. No failure detected."
329,H29742,H,297.6,308.4,1703,31.4,44.0,104.7,No Failure,"Technician inspected Engine #329. RPM at 1703, torque at 31.4 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 44.0. Engine has run for 104.7 hours. No failure detected."
330,H29743,H,297.7,308.5,1720,29.9,35.0,105.05,No Failure,"Technician inspected Engine #330. RPM at 1720, torque at 29.9 Nm. Air temp 297.7K, Process temp 308.5K. Vibration level recorded at 35.0. Engine has run for 105.0 hours. No failure detected."
